date,team,opponent,gd,gf,competition,is_friendly,event_id
2025-06-15,Angola,South Africa,3,3,"COSAFA Cup, Knockout stage",0,14008248
2025-06-15,South Africa,Angola,-3,0,"COSAFA Cup, Knockout stage",0,14008248
2025-08-08,Algeria,South Africa,0,1,"African Nations Championship, Group C",0,14085014
2025-08-08,South Africa,Algeria,0,1,"African Nations Championship, Group C",0,14085014
2025-09-09,South Africa,Nigeria,0,1,"FIFA World Cup, Qualification CAF, Group C",0,12183453
2025-09-09,Nigeria,South Africa,0,1,"FIFA World Cup, Qualification CAF, Group C",0,12183453
2025-12-22,South Africa,Angola,1,2,"Africa Cup of Nations, Group B",0,13424936
2025-12-22,Angola,South Africa,-1,1,"Africa Cup of Nations, Group B",0,13424936
2025-12-26,Egypt,South Africa,1,1,"Africa Cup of Nations, Group B",0,13424947
2025-12-26,South Africa,Egypt,-1,0,"Africa Cup of Nations, Group B",0,13424947
2026-01-04,South Africa,Cameroon,-1,1,"Africa Cup of Nations, Knockout stage",0,14058092
2026-01-04,Cameroon,South Africa,1,2,"Africa Cup of Nations, Knockout stage",0,14058092
2026-03-27,South Africa,Panama,0,1,Int. Friendly Games,1,15776615
2026-03-27,Panama,South Africa,0,1,Int. Friendly Games,1,15776615
2026-03-31,South Africa,Panama,-1,1,Int. Friendly Games,1,15776619
2026-03-31,Panama,South Africa,1,2,Int. Friendly Games,1,15776619
2026-06-11,Mexico,South Africa,2,2,"FIFA World Cup, Group A",0,15186710
2026-06-11,South Africa,Mexico,-2,0,"FIFA World Cup, Group A",0,15186710
2026-06-18,Czech Republic,South Africa,0,1,"FIFA World Cup, Group A",0,15186731
2026-06-18,South Africa,Czech Republic,0,1,"FIFA World Cup, Group A",0,15186731
2026-06-25,South Africa,South Korea,1,1,"FIFA World Cup, Group A",0,15186744
2026-06-25,South Korea,South Africa,-1,0,"FIFA World Cup, Group A",0,15186744
2026-06-28,South Africa,Canada,-1,0,"FIFA World Cup, Knockout",0,12813000
2026-06-28,Canada,South Africa,1,1,"FIFA World Cup, Knockout",0,12813000
2023-09-12,South Africa,DR Congo,1,1,Int. Friendly Games,1,11590356
2023-09-12,DR Congo,South Africa,-1,0,Int. Friendly Games,1,11590356
2023-10-17,Ivory Coast,South Africa,0,1,Int. Friendly Games,1,11744121
2023-10-17,South Africa,Ivory Coast,0,1,Int. Friendly Games,1,11744121
2024-01-24,South Africa,Tunisia,0,0,"Africa Cup of Nations, Group E",0,11761903
2024-01-24,Tunisia,South Africa,0,0,"Africa Cup of Nations, Group E",0,11761903
2024-01-30,Morocco,South Africa,-2,0,"Africa Cup of Nations, Knockout stage",0,11940726
2024-01-30,South Africa,Morocco,2,2,"Africa Cup of Nations, Knockout stage",0,11940726
2024-02-03,Cape Verde,South Africa,-1,1,"Africa Cup of Nations, Knockout stage",0,11940748
2024-02-03,South Africa,Cape Verde,1,2,"Africa Cup of Nations, Knockout stage",0,11940748
2024-02-07,Nigeria,South Africa,2,5,"Africa Cup of Nations, Knockout stage",0,11940771
2024-02-07,South Africa,Nigeria,-2,3,"Africa Cup of Nations, Knockout stage",0,11940771
2024-02-10,South Africa,DR Congo,1,6,"Africa Cup of Nations, Knockout stage",0,11940773
2024-02-10,DR Congo,South Africa,-1,5,"Africa Cup of Nations, Knockout stage",0,11940773
2024-03-26,Algeria,South Africa,0,3,Int. Friendly Games,1,12162754
2024-03-26,South Africa,Algeria,0,3,Int. Friendly Games,1,12162754
2024-06-07,Nigeria,South Africa,0,1,"FIFA World Cup, Qualification CAF, Group C",0,12183455
2024-06-07,South Africa,Nigeria,0,1,"FIFA World Cup, Qualification CAF, Group C",0,12183455
2025-03-09,Egypt,South Africa,-2,1,Int. Friendly Games,1,13581479
2025-03-09,South Africa,Egypt,2,3,Int. Friendly Games,1,13581479
2021-07-18,Senegal,South Africa,-1,4,"COSAFA Cup, Knockout stage",0,9648924
2021-07-18,South Africa,Senegal,1,5,"COSAFA Cup, Knockout stage",0,9648924
2021-09-06,South Africa,Ghana,1,1,"World Cup Qualification, CAF, Group G",0,9724711
2021-09-06,Ghana,South Africa,-1,0,"World Cup Qualification, CAF, Group G",0,9724711
2021-11-14,Ghana,South Africa,1,1,"World Cup Qualification, CAF, Group G",0,9724791
2021-11-14,South Africa,Ghana,-1,0,"World Cup Qualification, CAF, Group G",0,9724791
2022-03-29,France,South Africa,5,5,Int. Friendly Games,1,10132693
2022-03-29,South Africa,France,-5,0,Int. Friendly Games,1,10132693
2022-06-09,Morocco,South Africa,1,2,"Africa Cup of Nations, Qualification, Group K",0,10338559
2022-06-09,South Africa,Morocco,-1,1,"Africa Cup of Nations, Qualification, Group K",0,10338559
2022-08-28,Angola,South Africa,2,2,"African Nations Championship, Qualification",0,10644841
2022-08-28,South Africa,Angola,-2,0,"African Nations Championship, Qualification",0,10644841
2022-09-04,South Africa,Angola,-3,1,"African Nations Championship, Qualification",0,10661276
2022-09-04,Angola,South Africa,3,4,"African Nations Championship, Qualification",0,10661276
2022-11-20,South Africa,Angola,0,1,Int. Friendly Games,1,10893218
2022-11-20,Angola,South Africa,0,1,Int. Friendly Games,1,10893218
2023-06-17,South Africa,Morocco,1,2,"Africa Cup of Nations, Qualification, Group K",0,10339201
2023-06-17,Morocco,South Africa,-1,1,"Africa Cup of Nations, Qualification, Group K",0,10339201
2018-11-17,South Africa,Nigeria,0,1,"Africa Cup of Nations, Qualification, Group E",0,7447039
2018-11-17,Nigeria,South Africa,0,1,"Africa Cup of Nations, Qualification, Group E",0,7447039
2018-11-20,South Africa,Paraguay,0,1,Int. Friendly Games,1,8061786
2018-11-20,Paraguay,South Africa,0,1,Int. Friendly Games,1,8061786
2019-06-15,South Africa,Ghana,0,0,Int. Friendly Games,1,8240643
2019-06-15,Ghana,South Africa,0,0,Int. Friendly Games,1,8240643
2019-06-24,Ivory Coast,South Africa,1,1,"Africa Cup of Nations, Group D",0,8192963
2019-06-24,South Africa,Ivory Coast,-1,0,"Africa Cup of Nations, Group D",0,8192963
2019-07-01,South Africa,Morocco,-1,0,"Africa Cup of Nations, Group D",0,8192966
2019-07-01,Morocco,South Africa,1,1,"Africa Cup of Nations, Group D",0,8192966
2019-07-06,Egypt,South Africa,-1,0,"Africa Cup of Nations, Knockout stage",0,8274174
2019-07-06,South Africa,Egypt,1,1,"Africa Cup of Nations, Knockout stage",0,8274174
2019-07-10,Nigeria,South Africa,1,2,"Africa Cup of Nations, Knockout stage",0,8278877
2019-07-10,South Africa,Nigeria,-1,1,"Africa Cup of Nations, Knockout stage",0,8278877
2019-11-14,Ghana,South Africa,2,2,"Africa Cup of Nations, Qualification, Group C",0,8485966
2019-11-14,South Africa,Ghana,-2,0,"Africa Cup of Nations, Qualification, Group C",0,8485966
2021-03-25,South Africa,Ghana,0,1,"Africa Cup of Nations, Qualification, Group C",0,9150755
2021-03-25,Ghana,South Africa,0,1,"Africa Cup of Nations, Qualification, Group C",0,9150755
2015-10-14,Honduras,South Africa,0,1,Int. Friendly Games,1,6918648
2015-10-14,South Africa,Honduras,0,1,Int. Friendly Games,1,6918648
2015-11-13,Angola,South Africa,-2,1,World Cup Qual. CAF,0,6826983
2015-11-13,South Africa,Angola,2,3,World Cup Qual. CAF,0,6826983
2015-11-17,South Africa,Angola,1,1,World Cup Qual. CAF,0,6826988
2015-11-17,Angola,South Africa,-1,0,World Cup Qual. CAF,0,6826988
2016-03-26,Cameroon,South Africa,0,2,"Africa Cup of Nations, Qualification, Group M",0,6895502
2016-03-26,South Africa,Cameroon,0,2,"Africa Cup of Nations, Qualification, Group M",0,6895502
2016-03-29,South Africa,Cameroon,0,0,"Africa Cup of Nations, Qualification, Group M",0,6895504
2016-03-29,Cameroon,South Africa,0,0,"Africa Cup of Nations, Qualification, Group M",0,6895504
2016-09-06,South Africa,Egypt,1,1,Int. Friendly Games,1,7191763
2016-09-06,Egypt,South Africa,-1,0,Int. Friendly Games,1,7191763
2016-10-11,South Africa,Ghana,0,1,Int. Friendly Games,1,7232631
2016-10-11,Ghana,South Africa,0,1,Int. Friendly Games,1,7232631
2016-11-12,South Africa,Senegal,1,2,"FIFA World Cup, Qualification CAF, Group D",0,7107067
2016-11-12,Senegal,South Africa,-1,1,"FIFA World Cup, Qualification CAF, Group D",0,7107067
2017-03-28,South Africa,Angola,0,0,Int. Friendly Games,1,7372055
2017-03-28,Angola,South Africa,0,0,Int. Friendly Games,1,7372055
2017-06-10,Nigeria,South Africa,-2,0,"Africa Cup of Nations, Qualification, Group E",0,7429190
2017-06-10,South Africa,Nigeria,2,2,"Africa Cup of Nations, Qualification, Group E",0,7429190
2017-09-01,Cape Verde,South Africa,1,2,"FIFA World Cup, Qualification CAF, Group D",0,7107085
2017-09-01,South Africa,Cape Verde,-1,1,"FIFA World Cup, Qualification CAF, Group D",0,7107085
2017-09-05,South Africa,Cape Verde,-1,1,"FIFA World Cup, Qualification CAF, Group D",0,7107089
2017-09-05,Cape Verde,South Africa,1,2,"FIFA World Cup, Qualification CAF, Group D",0,7107089
2017-11-10,South Africa,Senegal,-2,0,"FIFA World Cup, Qualification CAF, Group D",0,7612117
2017-11-10,Senegal,South Africa,2,2,"FIFA World Cup, Qualification CAF, Group D",0,7612117
2017-11-14,Senegal,South Africa,1,2,"FIFA World Cup, Qualification CAF, Group D",0,7107063
2017-11-14,South Africa,Senegal,-1,1,"FIFA World Cup, Qualification CAF, Group D",0,7107063
2018-03-21,South Africa,Angola,1,7,Int. Friendly Games,1,7757419
2018-03-21,Angola,South Africa,-1,6,Int. Friendly Games,1,7757419
2013-11-19,South Africa,Spain,1,1,Int. Friendly Games,1,4612442
2013-11-19,Spain,South Africa,-1,0,Int. Friendly Games,1,4612442
2014-01-19,Nigeria,South Africa,2,3,"African Nations Championship, Group A",0,4612454
2014-01-19,South Africa,Nigeria,-2,1,"African Nations Championship, Group A",0,4612454
2014-03-05,South Africa,Brazil,-5,0,Int. Friendly Games,1,4917186
2014-03-05,Brazil,South Africa,5,5,Int. Friendly Games,1,4917186
2014-05-26,Australia,South Africa,0,1,Int. Friendly Games,1,5414132
2014-05-26,South Africa,Australia,0,1,Int. Friendly Games,1,5414132
2014-05-30,New Zealand,South Africa,0,0,Int. Friendly Games,1,5483532
2014-05-30,South Africa,New Zealand,0,0,Int. Friendly Games,1,5483532
2014-09-10,South Africa,Nigeria,0,0,"Africa Cup of Nations, Qualification, Group A",0,5909308
2014-09-10,Nigeria,South Africa,0,0,"Africa Cup of Nations, Qualification, Group A",0,5909308
2014-11-19,Nigeria,South Africa,0,2,"Africa Cup of Nations, Qualification, Group A",0,5909324
2014-11-19,South Africa,Nigeria,0,2,"Africa Cup of Nations, Qualification, Group A",0,5909324
2014-11-30,South Africa,Ivory Coast,2,2,Int. Friendly Games,1,6473314
2014-11-30,Ivory Coast,South Africa,-2,0,Int. Friendly Games,1,6473314
2015-01-10,Cameroon,South Africa,0,1,Int. Friendly Games,1,6579172
2015-01-10,South Africa,Cameroon,0,1,Int. Friendly Games,1,6579172
2015-01-19,Algeria,South Africa,2,3,"Africa Cup of Nations, Group C",0,6506356
2015-01-19,South Africa,Algeria,-2,1,"Africa Cup of Nations, Group C",0,6506356
2015-01-23,South Africa,Senegal,0,1,"Africa Cup of Nations, Group C",0,6506360
2015-01-23,Senegal,South Africa,0,1,"Africa Cup of Nations, Group C",0,6506360
2015-01-27,South Africa,Ghana,-1,1,"Africa Cup of Nations, Group C",0,6506364
2015-01-27,Ghana,South Africa,1,2,"Africa Cup of Nations, Group C",0,6506364
2015-03-29,South Africa,Nigeria,0,1,Int. Friendly Games,1,6714995
2015-03-29,Nigeria,South Africa,0,1,Int. Friendly Games,1,6714995
2015-06-16,South Africa,Angola,1,2,Int. Friendly Games,1,6766264
2015-06-16,Angola,South Africa,-1,1,Int. Friendly Games,1,6766264
2015-09-08,South Africa,Senegal,1,1,Int. Friendly Games,1,6892063
2015-09-08,Senegal,South Africa,-1,0,Int. Friendly Games,1,6892063
2015-10-09,Costa Rica,South Africa,-1,0,Int. Friendly Games,1,6918644
2015-10-09,South Africa,Costa Rica,1,1,Int. Friendly Games,1,6918644
2011-11-12,South Africa,Ivory Coast,0,1,Int. Friendly Games,1,2135286
2011-11-12,Ivory Coast,South Africa,0,1,Int. Friendly Games,1,2135286
2012-02-29,South Africa,Senegal,0,0,Int. Friendly Games,1,2394682
2012-02-29,Senegal,South Africa,0,0,Int. Friendly Games,1,2394682
2012-09-07,Brazil,South Africa,1,1,Int. Friendly Games,1,2986255
2012-09-07,South Africa,Brazil,-1,0,Int. Friendly Games,1,2986255
2012-10-12,Poland,South Africa,1,1,Int. Friendly Games,1,2844671
2012-10-12,South Africa,Poland,-1,0,Int. Friendly Games,1,2844671
2013-01-08,South Africa,Norway,-1,0,Int. Friendly Games,1,3408822
2013-01-08,Norway,South Africa,1,1,Int. Friendly Games,1,3408822
2013-01-12,South Africa,Algeria,0,0,Int. Friendly Games,1,3408824
2013-01-12,Algeria,South Africa,0,0,Int. Friendly Games,1,3408824
2013-01-19,South Africa,Cape Verde,0,0,"Africa Cup of Nations, Group A",0,3224187
2013-01-19,Cape Verde,South Africa,0,0,"Africa Cup of Nations, Group A",0,3224187
2013-01-23,South Africa,Angola,2,2,"Africa Cup of Nations, Group A",0,3224195
2013-01-23,Angola,South Africa,-2,0,"Africa Cup of Nations, Group A",0,3224195
2013-01-27,Morocco,South Africa,0,2,"Africa Cup of Nations, Group A",0,3224199
2013-01-27,South Africa,Morocco,0,2,"Africa Cup of Nations, Group A",0,3224199
2013-08-14,South Africa,Nigeria,-2,0,Int. Friendly Games,1,4181553
2013-08-14,Nigeria,South Africa,2,2,Int. Friendly Games,1,4181553
2013-10-11,Morocco,South Africa,0,1,Int. Friendly Games,1,4457722
2013-10-11,South Africa,Morocco,0,1,Int. Friendly Games,1,4457722
2009-06-17,South Africa,New Zealand,2,2,"Confederations Cup, Group A",0,927585
2009-06-17,New Zealand,South Africa,-2,0,"Confederations Cup, Group A",0,927585
2009-06-20,Spain,South Africa,2,2,"Confederations Cup, Group A",0,927588
2009-06-20,South Africa,Spain,-2,0,"Confederations Cup, Group A",0,927588
2009-06-25,Brazil,South Africa,1,1,"Confederations Cup, Knockout stage",0,1066869
2009-06-25,South Africa,Brazil,-1,0,"Confederations Cup, Knockout stage",0,1066869
2009-06-28,Spain,South Africa,1,3,"Confederations Cup, Knockout stage",0,1071525
2009-06-28,South Africa,Spain,-1,2,"Confederations Cup, Knockout stage",0,1071525
2009-08-12,South Africa,Serbia,-2,1,Int. Friendly Games,1,1094953
2009-08-12,Serbia,South Africa,2,3,Int. Friendly Games,1,1094953
2009-09-05,Germany,South Africa,2,2,Int. Friendly Games,1,936714
2009-09-05,South Africa,Germany,-2,0,Int. Friendly Games,1,936714
2009-09-08,Ireland,South Africa,1,1,Int. Friendly Games,1,1131499
2009-09-08,South Africa,Ireland,-1,0,Int. Friendly Games,1,1131499
2009-10-10,Norway,South Africa,1,1,Int. Friendly Games,1,1159600
2009-10-10,South Africa,Norway,-1,0,Int. Friendly Games,1,1159600
2009-10-13,Iceland,South Africa,1,1,Int. Friendly Games,1,1159604
2009-10-13,South Africa,Iceland,-1,0,Int. Friendly Games,1,1159604
2009-11-14,South Africa,Japan,0,0,Int. Friendly Games,1,1193895
2009-11-14,Japan,South Africa,0,0,Int. Friendly Games,1,1193895
2010-03-31,Paraguay,South Africa,0,1,Int. Friendly Games,1,1324020
2010-03-31,South Africa,Paraguay,0,1,Int. Friendly Games,1,1324020
2010-04-22,South Africa,North Korea,0,0,Int. Friendly Games,1,1355292
2010-04-22,North Korea,South Africa,0,0,Int. Friendly Games,1,1355292
2010-05-27,South Africa,Colombia,1,2,Int. Friendly Games,1,1365491
2010-05-27,Colombia,South Africa,-1,1,Int. Friendly Games,1,1365491
2010-06-05,South Africa,Denmark,1,1,Int. Friendly Games,1,1365492
2010-06-05,Denmark,South Africa,-1,0,Int. Friendly Games,1,1365492
2010-06-11,South Africa,Mexico,0,1,"FIFA World Cup, Group A",0,1251321
2010-06-11,Mexico,South Africa,0,1,"FIFA World Cup, Group A",0,1251321
2010-06-16,South Africa,Uruguay,-3,0,"FIFA World Cup, Group A",0,1251323
2010-06-16,Uruguay,South Africa,3,3,"FIFA World Cup, Group A",0,1251323
2010-06-22,France,South Africa,-1,1,"FIFA World Cup, Group A",0,1251326
2010-06-22,South Africa,France,1,2,"FIFA World Cup, Group A",0,1251326
2010-08-11,South Africa,Ghana,1,1,Int. Friendly Games,1,1435717
2010-08-11,Ghana,South Africa,-1,0,Int. Friendly Games,1,1435717
2010-11-17,South Africa,USA,-1,0,Int. Friendly Games,1,1538252
2010-11-17,USA,South Africa,1,1,Int. Friendly Games,1,1538252
2011-01-22,South Africa,Sweden,0,1,Int. Friendly Games,1,1584280
2011-01-22,Sweden,South Africa,0,1,Int. Friendly Games,1,1584280
1998-06-12,France,South Africa,3,3,"FIFA World Cup, Group C",0,264907
1998-06-12,South Africa,France,-3,0,"FIFA World Cup, Group C",0,264907
1998-06-18,South Africa,Denmark,0,1,"FIFA World Cup, Group C",0,264906
1998-06-18,Denmark,South Africa,0,1,"FIFA World Cup, Group C",0,264906
1998-06-24,South Africa,Saudi Arabia,0,2,"FIFA World Cup, Group C",0,264903
1998-06-24,Saudi Arabia,South Africa,0,2,"FIFA World Cup, Group C",0,264903
2002-06-02,Paraguay,South Africa,0,2,"FIFA World Cup, Group B",0,264966
2002-06-02,South Africa,Paraguay,0,2,"FIFA World Cup, Group B",0,264966
2002-06-08,South Africa,Slovenia,1,1,"FIFA World Cup, Group B",0,264963
2002-06-08,Slovenia,South Africa,-1,0,"FIFA World Cup, Group B",0,264963
2002-06-12,South Africa,Spain,-1,2,"FIFA World Cup, Group B",0,264962
2002-06-12,Spain,South Africa,1,3,"FIFA World Cup, Group B",0,264962
2008-06-01,Nigeria,South Africa,2,2,World Cup Qual. CAF 4,0,651132
2008-06-01,South Africa,Nigeria,-2,0,World Cup Qual. CAF 4,0,651132
2008-08-19,Australia,South Africa,0,2,Int. Friendly Games,1,808769
2008-08-19,South Africa,Australia,0,2,Int. Friendly Games,1,808769
2008-09-06,South Africa,Nigeria,-1,0,World Cup Qual. CAF 4,0,651269
2008-09-06,Nigeria,South Africa,1,1,World Cup Qual. CAF 4,0,651269
2008-11-19,South Africa,Cameroon,1,3,Int. Friendly Games,1,907234
2008-11-19,Cameroon,South Africa,-1,2,Int. Friendly Games,1,907234
2009-02-11,South Africa,Chile,-2,0,Int. Friendly Games,1,968115
2009-02-11,Chile,South Africa,2,2,Int. Friendly Games,1,968115
2009-03-28,South Africa,Norway,1,2,Int. Friendly Games,1,985504
2009-03-28,Norway,South Africa,-1,1,Int. Friendly Games,1,985504
2009-03-31,South Africa,Portugal,-2,0,Int. Friendly Games,1,15987572
2009-03-31,Portugal,South Africa,2,2,Int. Friendly Games,1,15987572
2009-06-06,South Africa,Poland,1,1,Int. Friendly Games,1,1031794
2009-06-06,Poland,South Africa,-1,0,Int. Friendly Games,1,1031794
2009-06-14,South Africa,Iraq,0,0,"Confederations Cup, Group A",0,927583
2009-06-14,Iraq,South Africa,0,0,"Confederations Cup, Group A",0,927583
2025-03-21,Canada,Mexico,-2,0,"CONCACAF Nations League, Finals",0,13152430
2025-03-21,Mexico,Canada,2,2,"CONCACAF Nations League, Finals",0,13152430
2025-03-24,Mexico,Panama,1,2,"CONCACAF Nations League, Finals",0,13649219
2025-03-24,Panama,Mexico,-1,1,"CONCACAF Nations League, Finals",0,13649219
2025-06-07,Mexico,Switzerland,-2,2,Int. Friendly Games,1,13888378
2025-06-07,Switzerland,Mexico,2,4,Int. Friendly Games,1,13888378
2025-06-11,Mexico,Turkey,1,1,Int. Friendly Games,1,13888415
2025-06-11,Turkey,Mexico,-1,0,Int. Friendly Games,1,13888415
2025-06-23,Mexico,Costa Rica,0,0,"CONCACAF Gold Cup, Group A",0,13755494
2025-06-23,Costa Rica,Mexico,0,0,"CONCACAF Gold Cup, Group A",0,13755494
2025-06-29,Mexico,Saudi Arabia,2,2,"CONCACAF Gold Cup, Knockout stage",0,14000201
2025-06-29,Saudi Arabia,Mexico,-2,0,"CONCACAF Gold Cup, Knockout stage",0,14000201
2025-07-03,Mexico,Honduras,1,1,"CONCACAF Gold Cup, Knockout stage",0,14000198
2025-07-03,Honduras,Mexico,-1,0,"CONCACAF Gold Cup, Knockout stage",0,14000198
2025-07-06,USA,Mexico,-1,1,"CONCACAF Gold Cup, Knockout stage",0,14000202
2025-07-06,Mexico,USA,1,2,"CONCACAF Gold Cup, Knockout stage",0,14000202
2025-09-07,Mexico,Japan,0,0,Int. Friendly Games,1,14553329
2025-09-07,Japan,Mexico,0,0,Int. Friendly Games,1,14553329
2025-09-10,Mexico,South Korea,0,2,Int. Friendly Games,1,14553327
2025-09-10,South Korea,Mexico,0,2,Int. Friendly Games,1,14553327
2025-10-12,Mexico,Colombia,-4,0,Int. Friendly Games,1,14784774
2025-10-12,Colombia,Mexico,4,4,Int. Friendly Games,1,14784774
2025-10-15,Mexico,Ecuador,0,1,Int. Friendly Games,1,14787862
2025-10-15,Ecuador,Mexico,0,1,Int. Friendly Games,1,14787862
2025-11-16,Mexico,Uruguay,0,0,Int. Friendly Games,1,14994228
2025-11-16,Uruguay,Mexico,0,0,Int. Friendly Games,1,14994228
2025-11-19,Mexico,Paraguay,-1,1,Int. Friendly Games,1,14994224
2025-11-19,Paraguay,Mexico,1,2,Int. Friendly Games,1,14994224
2026-01-23,Panama,Mexico,-1,0,Int. Friendly Games,1,15362809
2026-01-23,Mexico,Panama,1,1,Int. Friendly Games,1,15362809
2026-02-26,Mexico,Iceland,4,4,Int. Friendly Games,1,15362811
2026-02-26,Iceland,Mexico,-4,0,Int. Friendly Games,1,15362811
2026-03-29,Mexico,Portugal,0,0,Int. Friendly Games,1,15437863
2026-03-29,Portugal,Mexico,0,0,Int. Friendly Games,1,15437863
2026-04-01,Mexico,Belgium,0,1,Int. Friendly Games,1,15372905
2026-04-01,Belgium,Mexico,0,1,Int. Friendly Games,1,15372905
2026-05-23,Mexico,Ghana,2,2,Int. Friendly Games,1,15891669
2026-05-23,Ghana,Mexico,-2,0,Int. Friendly Games,1,15891669
2026-05-31,Mexico,Australia,1,1,Int. Friendly Games,1,15891671
2026-05-31,Australia,Mexico,-1,0,Int. Friendly Games,1,15891671
2026-06-05,Mexico,Serbia,4,5,Int. Friendly Games,1,15926539
2026-06-05,Serbia,Mexico,-4,1,Int. Friendly Games,1,15926539
2026-06-19,Mexico,South Korea,1,1,"FIFA World Cup, Group A",0,15186490
2026-06-19,South Korea,Mexico,-1,0,"FIFA World Cup, Group A",0,15186490
2026-06-25,Czech Republic,Mexico,-3,0,"FIFA World Cup, Group A",0,15186732
2026-06-25,Mexico,Czech Republic,3,3,"FIFA World Cup, Group A",0,15186732
2026-07-01,Mexico,Ecuador,2,2,"FIFA World Cup, Knockout",0,12813001
2026-07-01,Ecuador,Mexico,-2,0,"FIFA World Cup, Knockout",0,12813001
2026-07-06,Mexico,England,-1,2,"FIFA World Cup, Knockout",0,12813007
2026-07-06,England,Mexico,1,3,"FIFA World Cup, Knockout",0,12813007
2023-06-16,USA,Mexico,3,3,"CONCACAF Nations League, Finals",0,11185503
2023-06-16,Mexico,USA,-3,0,"CONCACAF Nations League, Finals",0,11185503
2023-06-18,Panama,Mexico,-1,0,"CONCACAF Nations League, Finals",0,11353815
2023-06-18,Mexico,Panama,1,1,"CONCACAF Nations League, Finals",0,11353815
2023-06-26,Mexico,Honduras,4,4,"CONCACAF Gold Cup, Group B",0,11232148
2023-06-26,Honduras,Mexico,-4,0,"CONCACAF Gold Cup, Group B",0,11232148
2023-06-30,Haiti,Mexico,-2,1,"CONCACAF Gold Cup, Group B",0,11232164
2023-06-30,Mexico,Haiti,2,3,"CONCACAF Gold Cup, Group B",0,11232164
2023-07-03,Mexico,Qatar,-1,0,"CONCACAF Gold Cup, Group B",0,11232161
2023-07-03,Qatar,Mexico,1,1,"CONCACAF Gold Cup, Group B",0,11232161
2023-07-09,Mexico,Costa Rica,2,2,"CONCACAF Gold Cup, Knockout stage",0,11405769
2023-07-09,Costa Rica,Mexico,-2,0,"CONCACAF Gold Cup, Knockout stage",0,11405769
2023-07-16,Mexico,Panama,1,1,"CONCACAF Gold Cup, Knockout stage",0,11428457
2023-07-16,Panama,Mexico,-1,0,"CONCACAF Gold Cup, Knockout stage",0,11428457
2023-09-10,Mexico,Australia,0,2,Int. Friendly Games,1,11607904
2023-09-10,Australia,Mexico,0,2,Int. Friendly Games,1,11607904
2023-09-12,Mexico,Uzbekistan,0,3,Int. Friendly Games,1,11612973
2023-09-12,Uzbekistan,Mexico,0,3,Int. Friendly Games,1,11612973
2023-10-15,Mexico,Ghana,2,2,Int. Friendly Games,1,11703164
2023-10-15,Ghana,Mexico,-2,0,Int. Friendly Games,1,11703164
2023-10-18,Mexico,Germany,0,2,Int. Friendly Games,1,11635606
2023-10-18,Germany,Mexico,0,2,Int. Friendly Games,1,11635606
2023-11-18,Honduras,Mexico,2,2,"CONCACAF Nations League, Finals",0,11816704
2023-11-18,Mexico,Honduras,-2,0,"CONCACAF Nations League, Finals",0,11816704
2023-11-22,Mexico,Honduras,4,6,"CONCACAF Nations League, Finals",0,11816830
2023-11-22,Honduras,Mexico,-4,2,"CONCACAF Nations League, Finals",0,11816830
2023-12-17,Mexico,Colombia,-1,2,Int. Friendly Games,1,11884247
2023-12-17,Colombia,Mexico,1,3,Int. Friendly Games,1,11884247
2024-03-22,Panama,Mexico,-3,0,"CONCACAF Nations League, Finals",0,11856825
2024-03-22,Mexico,Panama,3,3,"CONCACAF Nations League, Finals",0,11856825
2024-03-25,USA,Mexico,2,2,"CONCACAF Nations League, Finals",0,12182875
2024-03-25,Mexico,USA,-2,0,"CONCACAF Nations League, Finals",0,12182875
2024-06-06,Mexico,Uruguay,-4,0,Int. Friendly Games,1,12258874
2024-06-06,Uruguay,Mexico,4,4,Int. Friendly Games,1,12258874
2024-06-09,Mexico,Brazil,-1,2,Int. Friendly Games,1,12258880
2024-06-09,Brazil,Mexico,1,3,Int. Friendly Games,1,12258880
2024-07-01,Mexico,Ecuador,0,0,"CONMEBOL Copa América, Group B",0,11886364
2024-07-01,Ecuador,Mexico,0,0,"CONMEBOL Copa América, Group B",0,11886364
2024-09-08,Mexico,New Zealand,3,3,Int. Friendly Games,1,12258891
2024-09-08,New Zealand,Mexico,-3,0,Int. Friendly Games,1,12258891
2024-09-11,Canada,Mexico,0,0,Int. Friendly Games,1,12258867
2024-09-11,Mexico,Canada,0,0,Int. Friendly Games,1,12258867
2024-10-16,Mexico,USA,2,2,Int. Friendly Games,1,12749524
2024-10-16,USA,Mexico,-2,0,Int. Friendly Games,1,12749524
2024-11-16,Honduras,Mexico,2,2,"CONCACAF Nations League, Finals",0,13006403
2024-11-16,Mexico,Honduras,-2,0,"CONCACAF Nations League, Finals",0,13006403
2024-11-20,Mexico,Honduras,4,4,"CONCACAF Nations League, Finals",0,13006406
2024-11-20,Honduras,Mexico,-4,0,"CONCACAF Nations League, Finals",0,13006406
2021-10-28,Mexico,Ecuador,-1,2,Int. Friendly Games,1,9915912
2021-10-28,Ecuador,Mexico,1,3,Int. Friendly Games,1,9915912
2021-11-13,USA,Mexico,2,2,"World Cup Qual. CONCACAF, R. 3",0,9766674
2021-11-13,Mexico,USA,-2,0,"World Cup Qual. CONCACAF, R. 3",0,9766674
2021-11-17,Canada,Mexico,1,2,"World Cup Qual. CONCACAF, R. 3",0,9766675
2021-11-17,Mexico,Canada,-1,1,"World Cup Qual. CONCACAF, R. 3",0,9766675
2021-12-09,Mexico,Chile,0,2,Int. Friendly Games,1,9996266
